Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area,Low / Mid / High
BAYSHORE PARK,50 Bayshore Road  #11-04 ,1,87,Strata,870000,-,10000,929,31-May-19,Condominium,99 Yrs From 17/03/1982,1986,Resale,Private,16,46,469977,East Region,Bedok,Low
WOODHAVEN,77 Woodgrove Avenue  #03-52 ,1,58,Strata,668000,-,11517,1070,31-May-19,Condominium,99 Yrs From 07/02/2011,2015,Resale,Private,25,73,737811,North Region,Woodlands,Low
EIGHT COURTYARDS,12 Canberra Drive  #13-23 ,1,81,Strata,840000,-,10370,963,31-May-19,Condominium,99 Yrs From 20/09/2010,2014,Resale,Private,27,76,768094,North Region,Yishun,Low
D'LEEDON,3 Leedon Heights  #10-05 ,1,139,Strata,2160000,-,15540,1444,31-May-19,Condominium,99 Yrs From 08/04/2010,2014,Resale,Private,10,26,267951,Central Region,Bukit Timah,High
D'LEEDON,11 Leedon Heights  #08-36 ,1,59,Strata,1100000,-,18644,1732,31-May-19,Condominium,99 Yrs From 08/04/2010,2014,Resale,Private,10,26,267955,Central Region,Bukit Timah,Mid
AMBER PARK,18A Amber Gardens  #20-27 ,1,465,Strata,12600000,-,27097,2517,31-May-19,Condominium,Freehold,Uncompleted,New Sale,N.A,15,43,439981,Central Region,Marine Parade,High
NV RESIDENCES,95 Pasir Ris Grove  #03-36 ,1,81,Strata,750000,-,9259,860,31-May-19,Condominium,99 Yrs From 07/01/2008,2013,Resale,Private,18,51,518192,East Region,Pasir Ris,Low
THE SPRINGBLOOM,139 Serangoon Avenue 3  #11-03 ,1,153,Strata,1745000,-,11405,1060,31-May-19,Condominium,99 Yrs From 01/03/1995,1999,Resale,Private,19,55,556119,North East Region,Serangoon,Mid
THE INFINITI,39E West Coast Park  #09-14 ,1,85,Strata,1068000,-,12565,1167,31-May-19,Condominium,Freehold,2008,Resale,Private,5,12,127716,West Region,Clementi,Mid
CASA ROSA,35 Lorong Ong Lye  #02-05 ,1,102,Strata,960000,-,9412,874,31-May-19,Condominium,99 Yrs From 02/02/1998,2001,Resale,Private,19,53,536443,North East Region,Serangoon,Low
THE TAPESTRY,55 Tampines Street 86  #13-24 ,1,138,Strata,1806300,-,13089,1216,31-May-19,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,N.A,18,52,528541,East Region,Tampines,High
HILLVIEW REGENCY,26 Bukit Batok East Avenue 2  #24-01 ,1,105,Strata,1080000,-,10286,956,31-May-19,Condominium,99 Yrs From 20/06/2000,2005,Resale,Private,23,65,659920,West Region,Bukit Batok,Mid
THE MILTONIA RESIDENCES,532 Miltonia Close  #01-29 ,1,93,Strata,930000,-,10000,929,31-May-19,Condominium,99 Yrs From 30/11/2010,2014,Resale,Private,27,76,768110,North Region,Yishun,Low
FLAMINGO VALLEY,478 Siglap Road  #04-72 ,1,112,Strata,1785000,-,15938,1481,31-May-19,Condominium,Freehold,2014,Resale,Private,15,45,454852,East Region,Bedok,High
LA SUISSE,58 Swiss View  #01-06 ,1,195,Strata,2550000,-,13077,1215,31-May-19,Condominium,999 Yrs From 10/08/1878,1993,Resale,Private,11,28,288061,Central Region,Bukit Timah,High
BLUE HORIZON,21 West Coast Crescent  #15-02 ,1,108,Strata,1120000,-,10370,963,31-May-19,Condominium,99 Yrs From 14/08/2000,2005,Resale,Private,5,12,128045,West Region,Clementi,Mid
PARC BOTANNIA,10 Fernvale Street  #07-03 ,1,91,Strata,1283310,-,14102,1310,31-May-19,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,N.A,28,79,797390,North East Region,Sengkang,Mid
MAYFAIR GARDENS,16 Rifle Range Road  #05-42 ,1,61,Strata,1195000,-,19590,1820,31-May-19,Condominium,99 Yrs From 26/09/2018,Uncompleted,New Sale,N.A,21,58,588407,Central Region,Bukit Timah,Mid
LA FIESTA,70 Sengkang Square  #07-43 ,1,93,Strata,1250000,-,13441,1249,31-May-19,Condominium,99 Yrs From 03/09/2012,2016,Resale,Private,19,54,544705,North East Region,Sengkang,Mid
TREASURE AT TAMPINES,15 Tampines Lane  #03-55 ,1,63,Strata,901000,-,14302,1329,31-May-19,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528478,East Region,Tampines,Low
TREASURE AT TAMPINES,35 Tampines Lane  #09-110 ,1,76,Strata,1046000,-,13763,1279,31-May-19,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528468,East Region,Tampines,Mid
THE SHORE RESIDENCES,85 Amber Road  #17-13 ,1,106,Strata,1780000,-,16792,1560,31-May-19,Condominium,103 Yrs From 18/08/2009,2014,Resale,Private,15,43,439895,Central Region,Marine Parade,High
MEYERHOUSE,128 Meyer Road  #04-12 ,1,285,Strata,7856000,-,27565,2561,31-May-19,Condominium,Freehold,Uncompleted,New Sale,N.A,15,43,437938,Central Region,Marine Parade,High
PARC OASIS,37 Jurong East Avenue 1  #10-02 ,1,114,Strata,1150000,-,10088,937,31-May-19,Condominium,99 Yrs From 01/12/1991,1994,Resale,Private,22,60,609775,West Region,Jurong East,Mid
MARTIN MODERN,10 Martin Place  #03-10 ,1,71,Strata,1906700,-,26855,2495,31-May-19,Condominium,99 Yrs From 28/09/2016,Uncompleted,New Sale,N.A,9,23,237963,Central Region,River Valley,High
MARTIN MODERN,8 Martin Place  #30-04 ,1,81,Strata,2500000,-,30864,2867,31-May-19,Condominium,99 Yrs From 28/09/2016,Uncompleted,New Sale,N.A,9,23,237992,Central Region,River Valley,High
THE TRE VER,66 Potong Pasir Avenue 1  #18-28 ,1,46,Strata,841000,-,18283,1698,31-May-19,Condominium,99 Yrs From 27/03/2018,Uncompleted,New Sale,N.A,13,35,358394,Central Region,Toa Payoh,Low
THE TRE VER,68 Potong Pasir Avenue 1  #19-35 ,1,102,Strata,1792000,-,17569,1632,31-May-19,Condominium,99 Yrs From 27/03/2018,Uncompleted,New Sale,N.A,13,35,358395,Central Region,Toa Payoh,High
CHILTERN PARK,135 Serangoon Avenue 3  #07-08 ,1,85,Strata,990000,-,11647,1082,31-May-19,Condominium,99 Yrs From 01/03/1991,1995,Resale,Private,19,55,556114,North East Region,Serangoon,Low
ARDMORE PARK,11 Ardmore Park  #17-04 ,1,268,Strata,8000000,-,29851,2773,31-May-19,Condominium,Freehold,2001,Resale,Private,10,25,259957,Central Region,Newton,High
CLOVER BY THE PARK,6 Bishan Street 25  #04-09 ,1,146,Strata,1830000,-,12534,1164,31-May-19,Condominium,99 Yrs From 10/09/2007,2011,Resale,Private,20,57,573975,Central Region,Bishan,High
BUTTERWORTH 8,8 Butterworth Lane  #18-10 ,1,122,Strata,2092800,-,17154,1594,30-May-19,Condominium,Freehold,2004,Resale,Private,15,43,439423,Central Region,Geylang,High
THE ESTA,39 Amber Gardens  #13-20 ,1,145,Strata,2810000,-,19379,1800,30-May-19,Condominium,Freehold,2008,Resale,Private,15,43,439970,Central Region,Marine Parade,High
CENTENNIA SUITES,100 Kim Seng Road  #28-03 ,1,208,Strata,5688888,-,27350,2541,30-May-19,Condominium,Freehold,2013,Resale,Private,9,23,239427,Central Region,Singapore River,High
HEDGES PARK CONDOMINIUM,79 Flora Drive  #02-29 ,1,45,Strata,565000,-,12556,1166,30-May-19,Condominium,99 Yrs From 28/07/2010,2015,Resale,Private,17,50,506885,East Region,Pasir Ris,Low
SELETAR SPRINGS CONDOMINIUM,110 Gerald Drive  #02-55 ,1,94,Strata,770000,-,8191,761,30-May-19,Condominium,99 Yrs From 12/08/1997,2000,Resale,Private,28,79,799036,North East Region,Hougang,Low
THE PALETTE,123 Pasir Ris Grove  #12-70 ,1,83,Strata,940000,-,11325,1052,30-May-19,Condominium,99 Yrs From 20/10/2010,2015,Resale,Private,18,51,518176,East Region,Pasir Ris,Low
AMBER PARK,16 Amber Gardens  #05-02 ,1,147,Strata,3713800,-,25264,2347,30-May-19,Condominium,Freehold,Uncompleted,New Sale,N.A,15,43,439961,Central Region,Marine Parade,High
EASTPOINT GREEN,1 Simei Street 3  #04-10 ,1,89,Strata,800000,-,8989,835,30-May-19,Condominium,99 Yrs From 24/04/1996,1999,Resale,Private,18,52,529890,East Region,Tampines,Low
QUEENS,10 Stirling Road  #10-07 ,1,111,Strata,1530000,-,13784,1281,30-May-19,Condominium,99 Yrs From 16/02/1998,2002,Resale,Private,3,14,148954,Central Region,Queenstown,Mid
THE CASCADIA,921 Bukit Timah Road  #04-05 ,1,81,Strata,1550000,-,19136,1778,30-May-19,Condominium,Freehold,2010,Resale,Private,21,58,589624,Central Region,Bukit Timah,Mid
AQUARIUS BY THE PARK,3 Bedok Reservoir View  #06-01 ,1,83,Strata,830000,-,10000,929,30-May-19,Condominium,99 Yrs From 12/06/1996,2000,Resale,Private,16,47,478927,East Region,Bedok,Low
MAYFAIR MODERN,2 Rifle Range Road  #05-05 ,1,89,Strata,2053300,-,23071,2143,30-May-19,Condominium,99 Yrs From 08/07/1983,Uncompleted,New Sale,N.A,21,58,588373,Central Region,Bukit Timah,High
BLUE HORIZON,23 West Coast Crescent  #10-09 ,1,108,Strata,1250000,-,11574,1075,30-May-19,Condominium,99 Yrs From 14/08/2000,2005,Resale,Private,5,12,128046,West Region,Clementi,Mid
CASABLANCA,27 Rosewood Drive  #15-20 ,1,104,Strata,868000,-,8346,775,30-May-19,Condominium,99 Yrs From 02/10/2001,2005,Resale,Private,25,73,737920,North Region,Woodlands,Low
CASAFINA,213 Bedok South Avenue 1  #04-17 ,1,105,Strata,1085000,-,10333,960,30-May-19,Condominium,99 Yrs From 12/06/1996,1999,Resale,Private,16,46,469337,East Region,Bedok,Mid
TREASURE AT TAMPINES,7 Tampines Lane  #05-30 ,1,85,Strata,1163000,-,13682,1271,30-May-19,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528487,East Region,Tampines,Mid
BLUE HORIZON,21 West Coast Crescent  #17-02 ,1,108,Strata,1270000,-,11759,1092,30-May-19,Condominium,99 Yrs From 14/08/2000,2005,Resale,Private,5,12,128045,West Region,Clementi,Mid
WOODHAVEN,71 Woodgrove Avenue  #01-09 ,1,95,Strata,878000,-,9242,859,30-May-19,Condominium,99 Yrs From 07/02/2011,2015,Resale,Private,25,73,737808,North Region,Woodlands,Low
COMMONWEALTH TOWERS,230 Commonwealth Avenue  #10-10 ,1,84,Strata,1550000,-,18452,1714,30-May-19,Condominium,99 Yrs From 07/05/2013,2017,Resale,Private,3,14,149739,Central Region,Queenstown,Mid
ONE AMBER,1 Amber Gardens  #07-06 ,1,135,Strata,2550000,-,18889,1755,29-May-19,Condominium,Freehold,2010,Resale,Private,15,43,439957,Central Region,Marine Parade,High
TREASURE AT TAMPINES,7 Tampines Lane  #11-28 ,1,54,Strata,817000,-,15130,1406,29-May-19,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528487,East Region,Tampines,Low
HILLVISTA,1 Elizabeth Drive  #05-11 ,1,110,Strata,1400000,-,12727,1182,29-May-19,Condominium,Freehold,2010,Resale,Private,23,66,669743,West Region,Bukit Batok,Mid
FERNWOOD TOWERS,22 Fernwood Terrace  #08-03 ,1,153,Strata,1800000,-,11765,1093,29-May-19,Condominium,Freehold,1994,Resale,Private,15,45,458553,East Region,Bedok,High
PARC OLYMPIA,54 Flora Drive  #05-17 ,1,153,Strata,1420000,-,9281,862,29-May-19,Condominium,99 Yrs From 25/01/2012,2015,Resale,Private,17,50,506870,East Region,Pasir Ris,Mid
MERAWOODS,136C Hillview Avenue  #01-05 ,1,166,Strata,1700000,-,10241,951,29-May-19,Condominium,999 Yrs From 12/10/1885,1999,Resale,Private,23,66,669608,West Region,Bukit Batok,Mid
DOVER PARKVIEW,38 Dover Rise  #08-07 ,1,87,Strata,1040000,-,11954,1111,29-May-19,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,5,13,138684,Central Region,Queenstown,Mid
THE PALETTE,117 Pasir Ris Grove  #03-51 ,1,109,Strata,1108000,-,10165,944,29-May-19,Condominium,99 Yrs From 20/10/2010,2015,Resale,Private,18,51,518173,East Region,Pasir Ris,Mid
DAKOTA RESIDENCES,38 Dakota Crescent  #16-12 ,1,95,Strata,1490000,-,15684,1457,29-May-19,Condominium,99 Yrs From 11/09/2007,2010,Resale,Private,14,39,399938,Central Region,Geylang,Mid
HEDGES PARK CONDOMINIUM,85 Flora Drive  #08-48 ,1,81,Strata,870000,-,10741,998,29-May-19,Condominium,99 Yrs From 28/07/2010,2015,Resale,Private,17,50,506888,East Region,Pasir Ris,Low
MELROSE PARK,93 Kellock Road  #02-05 ,1,136,Strata,2500000,-,18382,1708,29-May-19,Condominium,999 Yrs From 21/06/1877,2000,Resale,Private,10,24,248904,Central Region,Tanglin,High
HILLINGTON GREEN,47 Hillview Avenue  #02-03 ,1,126,Strata,1560000,-,12381,1150,29-May-19,Condominium,999 Yrs From 19/05/1883,2002,Resale,Private,23,66,669614,West Region,Bukit Batok,Mid
EIGHT RIVERSUITES,8 Whampoa East  #28-17 ,1,170,Strata,1850000,-,10882,1011,29-May-19,Condominium,99 Yrs From 11/07/2011,2016,Resale,Private,12,33,338520,Central Region,Kallang,High
THE TAPESTRY,59 Tampines Street 86  #14-31 ,1,105,Strata,1460430,-,13909,1292,29-May-19,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,N.A,18,52,528509,East Region,Tampines,Mid
PRINCIPAL GARDEN,97 Prince Charles Crescent  #21-18 ,1,71,Strata,1425000,-,20070,1865,29-May-19,Condominium,99 Yrs From 21/07/2014,2018,Sub Sale,Private,3,15,159028,Central Region,Bukit Merah,Mid
THE GLYNDEBOURNE,38 Trevose Crescent  #01-05 ,1,233,Strata,4750000,-,20386,1894,29-May-19,Condominium,Freehold,2013,Resale,Private,11,29,297722,Central Region,Novena,High
THE HILLSIDE,341 Upper Bukit Timah Road  #09-10 ,1,121,Strata,1560000,-,12893,1198,29-May-19,Condominium,Freehold,2001,Resale,Private,21,58,588195,West Region,Bukit Batok,Mid
AVON PARK,1 Youngberg Terrace  #03-05 ,1,157,Strata,2350000,-,14968,1391,29-May-19,Condominium,Freehold,1991,Resale,Private,13,35,357741,Central Region,Toa Payoh,High
CHUAN PARK,240 Lorong Chuan  #01-06 ,1,190,Strata,1500000,-,7895,733,29-May-19,Condominium,99 Yrs From 06/06/1980,1984,Resale,Private,19,55,556743,North East Region,Serangoon,Mid
SKYLINE RESIDENCES,608 Telok Blangah Road  #09-03 ,1,150,Strata,3000000,-,20000,1858,29-May-19,Condominium,Freehold,2015,Resale,Private,4,10,109030,Central Region,Bukit Merah,High
PALM SPRING,20 Ewe Boon Road  #02-08 ,1,247,Strata,4150000,-,16802,1561,29-May-19,Condominium,Freehold,1997,Resale,Private,10,25,259344,Central Region,Tanglin,High
THE TRE VER,68 Potong Pasir Avenue 1  #09-38 ,1,94,Strata,1602000,-,17043,1583,29-May-19,Condominium,99 Yrs From 27/03/2018,Uncompleted,New Sale,N.A,13,35,358395,Central Region,Toa Payoh,Mid
CARIBBEAN AT KEPPEL BAY,34 Keppel Bay Drive  #05-69 ,1,113,Strata,1890000,-,16726,1554,29-May-19,Condominium,99 Yrs From 16/08/1999,2004,Resale,Private,4,9,98652,Central Region,Bukit Merah,High
THOMSON GRAND,23 Sin Ming Walk  #10-13 ,1,128,Strata,1750000,-,13672,1270,28-May-19,Condominium,99 Yrs From 08/02/2010,2015,Resale,Private,20,57,573916,Central Region,Bishan,Mid
TREASURE AT TAMPINES,5 Tampines Lane  #06-21 ,1,54,Strata,793000,-,14685,1364,28-May-19,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528485,East Region,Tampines,Low
MAPLE WOODS,985 Bukit Timah Road  #03-11 ,1,166,Strata,2720000,-,16386,1522,28-May-19,Condominium,Freehold,1997,Resale,Private,21,58,589627,Central Region,Bukit Timah,High
YISHUN SAPPHIRE,40 Canberra Drive  #10-04 ,1,126,Strata,975000,-,7738,719,28-May-19,Condominium,99 Yrs From 16/02/1998,2001,Resale,Private,27,76,768433,North Region,Yishun,Low
THE CHUAN,31 Lorong Chuan  #09-05 ,1,87,Strata,1520000,-,17471,1623,28-May-19,Condominium,999 Yrs From 21/06/1877,2007,Resale,Private,19,55,556820,North East Region,Serangoon,Mid
GOLD COAST CONDOMINIUM,360 Pasir Panjang Road  #02-07 ,1,138,Strata,1550000,-,11232,1043,28-May-19,Condominium,Freehold,1994,Resale,Private,5,11,118699,Central Region,Queenstown,Mid
THE PALETTE,117 Pasir Ris Grove  #02-50 ,1,99,Strata,1017500,-,10278,955,28-May-19,Condominium,99 Yrs From 20/10/2010,2015,Resale,Private,18,51,518173,East Region,Pasir Ris,Mid
HILLVISTA,3 Elizabeth Drive  #08-02 ,1,108,Strata,1450000,-,13426,1247,28-May-19,Condominium,Freehold,2010,Resale,Private,23,66,669744,West Region,Bukit Batok,Mid
PARK COLONIAL,10 Woodleigh Lane  #02-45 ,1,59,Strata,1117000,-,18932,1759,28-May-19,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357657,Central Region,Toa Payoh,Mid
8 @ MOUNT SOPHIA,10A Mount Sophia  #09-12 ,1,243,Strata,2530000,-,10412,967,28-May-19,Condominium,103 Yrs From 28/11/2002,2007,Resale,Private,9,22,228462,Central Region,Rochor,High
ROSEWOOD,13 Rosewood Drive  #05-26 ,1,94,Strata,740000,-,7872,731,28-May-19,Condominium,99 Yrs From 20/06/2000,2003,Resale,Private,25,73,737940,North Region,Woodlands,Low
8 SAINT THOMAS,10 St. Thomas Walk  #35-07 ,1,121,Strata,4250000,-,35124,3263,28-May-19,Condominium,Freehold,2018,Resale,Private,9,23,238102,Central Region,River Valley,High
DOUBLE BAY RESIDENCES,17A Simei Street 4  #11-05 ,1,93,Strata,1128000,-,12129,1127,28-May-19,Condominium,99 Yrs From 07/04/2008,2012,Resale,Private,18,52,529882,East Region,Tampines,Mid
EAST MEADOWS,34 Tanah Merah Kechil Road  #04-25 ,1,113,Strata,1150000,-,10177,945,28-May-19,Condominium,99 Yrs From 02/03/1998,2002,Resale,Private,16,46,465560,East Region,Bedok,Mid
SPRING GROVE,53B Grange Road  #18-01 ,1,129,Strata,2150000,-,16667,1548,28-May-19,Condominium,99 Yrs From 01/12/1991,1996,Resale,Private,10,24,249567,Central Region,Tanglin,High
SOUTHAVEN II,33 Hindhede Walk  #06-16 ,1,176,Strata,2210000,-,12557,1167,28-May-19,Condominium,999 Yrs From 21/06/1877,1999,Resale,Private,21,58,587968,West Region,Bukit Panjang,High
CHESTNUT VILLE,24A Jalan Pakis ,1,154,Strata,1658000,-,10766,1000,28-May-19,Condominium,999 Yrs From 25/09/1882,1984,Resale,Private,23,67,678607,West Region,Bukit Panjang,Mid
CARIBBEAN AT KEPPEL BAY,46 Keppel Bay Drive  #10-127 ,1,83,Strata,1558000,-,18771,1744,28-May-19,Condominium,99 Yrs From 16/08/1999,2004,Resale,Private,4,9,98635,Central Region,Bukit Merah,Mid
TREASURE AT TAMPINES,37 Tampines Lane  #12-117 ,1,76,Strata,1053000,-,13855,1287,28-May-19,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528467,East Region,Tampines,Mid
TREASURE AT TAMPINES,41 Tampines Lane  #11-133 ,1,63,Strata,924000,-,14667,1363,28-May-19,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528465,East Region,Tampines,Low
OCEAN PARK,520 East Coast Road  #02-01 ,1,214,Strata,2538000,-,11860,1102,28-May-19,Condominium,Freehold,1984,Resale,Private,15,45,458965,East Region,Bedok,High
TREASURE AT TAMPINES,41 Tampines Lane  #09-139 ,1,115,Strata,1546000,-,13443,1249,28-May-19,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528465,East Region,Tampines,Mid
REGENT HEIGHTS,50 Bukit Batok East Avenue 5  #27-05 ,1,95,Strata,828000,-,8716,810,28-May-19,Condominium,99 Yrs From 07/11/1995,1999,Resale,Private,23,65,659801,West Region,Bukit Batok,Low
FORESQUE RESIDENCES,101 Petir Road  #09-04 ,1,69,Strata,845000,-,12246,1138,27-May-19,Condominium,99 Yrs From 10/01/2011,2014,Resale,Private,23,67,678272,West Region,Bukit Panjang,Low
COSTA DEL SOL,78 Bayshore Road  #19-23 ,1,145,Strata,2025000,-,13966,1297,27-May-19,Condominium,99 Yrs From 05/05/1997,2003,Resale,Private,16,46,469991,East Region,Bedok,High
VIZ AT HOLLAND,221 Queensway  #03-03 ,1,117,Strata,1960000,-,16752,1556,27-May-19,Condominium,Freehold,2008,Resale,Private,10,27,276750,Central Region,Bukit Timah,High
THOMSON VIEW CONDOMINIUM,7 Bright Hill Drive  #11-06 ,1,188,Strata,1950000,-,10372,964,27-May-19,Condominium,99 Yrs From 07/04/1975,1987,Resale,Private,20,57,579599,Central Region,Bishan,High
THE PEAK@BALMEG,11 Balmeg Hill  #05-21 ,1,242,Strata,3280000,-,13554,1259,27-May-19,Condominium,Freehold,2011,Resale,Private,5,11,119916,Central Region,Queenstown,High
COSTA DEL SOL,78 Bayshore Road  #25-22 ,1,137,Strata,1980000,-,14453,1343,27-May-19,Condominium,99 Yrs From 05/05/1997,2003,Resale,Private,16,46,469991,East Region,Bedok,High
JEWEL @ BUANGKOK,85 Compassvale Bow  #07-14 ,1,67,Strata,895000,-,13358,1241,27-May-19,Condominium,99 Yrs From 12/09/2012,2016,Resale,Private,19,54,544685,North East Region,Sengkang,Low
PARK COLONIAL,6 Woodleigh Lane  #06-22 ,1,110,Strata,2122000,-,19291,1792,27-May-19,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357687,Central Region,Toa Payoh,High
AMBER PARK,16 Amber Gardens  #16-10 ,1,69,Strata,1843560,-,26718,2482,27-May-19,Condominium,Freehold,Uncompleted,New Sale,N.A,15,43,439961,Central Region,Marine Parade,High
THE MEYERISE,93 Meyer Road  #20-02 ,1,191,Strata,5000000,-,26178,2432,27-May-19,Condominium,Freehold,2014,Resale,Private,15,43,437986,Central Region,Marine Parade,High
SKIES MILTONIA,33 Miltonia Close  #10-25 ,1,90,Strata,1050000,-,11667,1084,27-May-19,Condominium,99 Yrs From 20/02/2012,2016,Resale,Private,27,76,768064,North Region,Yishun,Mid
8 SAINT THOMAS,10 St. Thomas Walk  #10-08 ,1,75,Strata,2550940,-,34013,3160,27-May-19,Condominium,Freehold,2018,Resale,Private,9,23,238102,Central Region,River Valley,High
THE TAPESTRY,53 Tampines Street 86  #03-20 ,1,92,Strata,1179360,-,12819,1191,27-May-19,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,N.A,18,52,528540,East Region,Tampines,Mid
HAZEL PARK CONDOMINIUM,21 Hazel Park Terrace  #16-07 ,1,142,Strata,1780000,-,12535,1165,27-May-19,Condominium,999 Yrs From 25/09/1882,2000,Resale,Private,23,67,678946,West Region,Bukit Panjang,High
ALLSWORTH PARK,365 Holland Road  #06-06 ,1,182,Strata,3450000,-,18956,1761,27-May-19,Condominium,999 Yrs From 06/07/1885,1985,Resale,Private,10,27,278639,Central Region,Bukit Timah,High
THE SERENADE @ HOLLAND,371 Holland Road  #05-05 ,1,177,Strata,2300000,-,12994,1207,27-May-19,Condominium,99 Yrs From 05/06/2001,2004,Resale,Private,10,27,278698,Central Region,Bukit Timah,High
LAGUNA GREEN,20 Jalan Hajijah  #02-09 ,1,95,Strata,1038000,-,10926,1015,27-May-19,Condominium,99 Yrs From 13/02/1995,1998,Resale,Private,16,46,468726,East Region,Bedok,Mid
HILLCREST ARCADIA,251 Arcadia Road  #03-05 ,1,269,Strata,1980000,-,7361,684,27-May-19,Condominium,99 Yrs From 01/12/1975,1980,Resale,Private,11,28,289847,Central Region,Bukit Timah,High
LIVIA,63 Pasir Ris Grove  #09-05 ,1,143,Strata,1350000,-,9441,877,27-May-19,Condominium,99 Yrs From 07/01/2008,2011,Resale,Private,18,51,518216,East Region,Pasir Ris,Mid
SILVERSEA,50 Marine Parade Road  #05-12 ,1,142,Strata,2400000,-,16901,1570,27-May-19,Condominium,99 Yrs From 20/07/2007,2014,Resale,Private,15,44,449307,Central Region,Marine Parade,High
THE BLOSSOMVALE,900 Dunearn Road  #07-10 ,1,84,Strata,1450000,-,17262,1604,27-May-19,Condominium,999 Yrs From 15/08/1884,1998,Resale,Private,21,58,589473,Central Region,Bukit Timah,Mid
CHUAN PARK,244 Lorong Chuan  #08-05 ,1,109,Strata,1200000,-,11009,1023,27-May-19,Condominium,99 Yrs From 06/06/1980,1985,Resale,Private,19,55,556745,North East Region,Serangoon,Mid
GEM RESIDENCES,3 Lorong 5 Toa Payoh  #13-15 ,1,116,Strata,1987920,-,17137,1592,27-May-19,Condominium,99 Yrs From 21/09/2015,Uncompleted,New Sale,N.A,12,31,319459,Central Region,Toa Payoh,High
TANGLIN VIEW,150 Prince Charles Crescent  #15-01 ,1,106,Strata,1538000,-,14509,1348,27-May-19,Condominium,99 Yrs From 17/05/1997,2001,Resale,Private,3,15,159012,Central Region,Bukit Merah,Mid
MAYFAIR GARDENS,16 Rifle Range Road  #04-38 ,1,48,Strata,976000,-,20333,1889,26-May-19,Condominium,99 Yrs From 26/09/2018,Uncompleted,New Sale,N.A,21,58,588407,Central Region,Bukit Timah,Low
THE TAPESTRY,57 Tampines Street 86  #09-26 ,1,86,Strata,1244970,-,14476,1345,26-May-19,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,N.A,18,52,528542,East Region,Tampines,Mid
PARK COLONIAL,4 Woodleigh Lane  #13-15 ,1,91,Strata,1721000,-,18912,1757,26-May-19,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357686,Central Region,Toa Payoh,Mid
KANDIS RESIDENCE,6 Kandis Link  #05-08 ,1,87,Strata,1193900,-,13723,1275,26-May-19,Condominium,99 Yrs From 11/07/2016,Uncompleted,New Sale,N.A,27,75,756969,North Region,Sembawang,Mid
AMBER PARK,16 Amber Gardens  #04-05 ,1,43,Strata,1100800,-,25600,2378,26-May-19,Condominium,Freehold,Uncompleted,New Sale,N.A,15,43,439961,Central Region,Marine Parade,Mid
TREASURE AT TAMPINES,33 Tampines Lane  #11-107 ,1,160,Strata,1963000,-,12269,1140,26-May-19,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528469,East Region,Tampines,High
GRANDEUR PARK RESIDENCES,9 Bedok South Avenue 3  #02-40 ,1,115,Strata,1848000,-,16070,1493,26-May-19,Condominium,99 Yrs From 25/05/2016,Uncompleted,New Sale,N.A,16,46,465465,East Region,Bedok,High
TREASURE AT TAMPINES,37 Tampines Lane  #12-118 ,1,57,Strata,845000,-,14825,1377,26-May-19,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528467,East Region,Tampines,Low
TREASURE AT TAMPINES,37 Tampines Lane  #11-123 ,1,115,Strata,1561000,-,13574,1261,26-May-19,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528467,East Region,Tampines,Mid
TREASURE AT TAMPINES,45 Tampines Lane  #09-152 ,1,55,Strata,798000,-,14509,1348,26-May-19,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528463,East Region,Tampines,Low
TREASURE AT TAMPINES,47 Tampines Lane  #10-159 ,1,96,Strata,1338000,-,13938,1295,26-May-19,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528462,East Region,Tampines,Mid
